period,respondent,respondent-name,type,type-name,value,value-units
2019-01-02T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23053,megawatthours
2019-01-02T22,CISO,California Independent System Operator,NG,Net generation,17391,megawatthours
2019-01-02T22,CISO,California Independent System Operator,TI,Total interchange,-3689,megawatthours
2019-01-02T23,CISO,California Independent System Operator,D,Demand,22591,megawatthours
2019-01-02T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23292,megawatthours
2019-01-02T23,CISO,California Independent System Operator,NG,Net generation,17268,megawatthours
2019-01-02T23,CISO,California Independent System Operator,TI,Total interchange,-4078,megawatthours
2019-01-03T00,CISO,California Independent System Operator,D,Demand,23576,megawatthours
2019-01-03T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24139,megawatthours
2019-01-03T00,CISO,California Independent System Operator,NG,Net generation,15428,megawatthours
2019-01-03T00,CISO,California Independent System Operator,TI,Total interchange,-5611,megawatthours
2019-01-03T01,CISO,California Independent System Operator,D,Demand,25467,megawatthours
2019-01-03T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25867,megawatthours
2019-01-03T01,CISO,California Independent System Operator,NG,Net generation,17159,megawatthours
2019-01-03T01,CISO,California Independent System Operator,TI,Total interchange,-8335,megawatthours
2019-01-03T02,CISO,California Independent System Operator,D,Demand,27956,megawatthours
2019-01-03T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,29211,megawatthours
2019-01-03T02,CISO,California Independent System Operator,NG,Net generation,17853,megawatthours
2019-01-03T02,CISO,California Independent System Operator,TI,Total interchange,-9277,megawatthours
2019-01-03T03,CISO,California Independent System Operator,D,Demand,28471,megawatthours
2019-01-03T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,30003,megawatthours
2019-01-03T03,CISO,California Independent System Operator,NG,Net generation,18090,megawatthours
2019-01-03T03,CISO,California Independent System Operator,TI,Total interchange,-9706,megawatthours
2019-01-03T04,CISO,California Independent System Operator,D,Demand,28587,megawatthours
2019-01-03T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,29642,megawatthours
2019-01-03T04,CISO,California Independent System Operator,NG,Net generation,17704,megawatthours
2019-01-03T04,CISO,California Independent System Operator,TI,Total interchange,-9393,megawatthours
2019-01-03T05,CISO,California Independent System Operator,D,Demand,28235,megawatthours
2019-01-03T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28956,megawatthours
2019-01-03T05,CISO,California Independent System Operator,NG,Net generation,16363,megawatthours
2019-01-03T05,CISO,California Independent System Operator,TI,Total interchange,-9714,megawatthours
2019-01-03T06,CISO,California Independent System Operator,D,Demand,26969,megawatthours
2019-01-03T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27578,megawatthours
2019-01-03T06,CISO,California Independent System Operator,NG,Net generation,15313,megawatthours
2019-01-03T06,CISO,California Independent System Operator,TI,Total interchange,-10007,megawatthours
2019-01-03T07,CISO,California Independent System Operator,D,Demand,25181,megawatthours
2019-01-03T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25679,megawatthours
2019-01-03T07,CISO,California Independent System Operator,NG,Net generation,14038,megawatthours
2019-01-03T07,CISO,California Independent System Operator,TI,Total interchange,-9266,megawatthours
2019-01-03T08,CISO,California Independent System Operator,D,Demand,23472,megawatthours
2019-01-03T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23822,megawatthours
2019-01-03T08,CISO,California Independent System Operator,NG,Net generation,13207,megawatthours
2019-01-03T08,CISO,California Independent System Operator,TI,Total interchange,-8789,megawatthours
2019-01-03T09,CISO,California Independent System Operator,D,Demand,22534,megawatthours
2019-01-03T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22322,megawatthours
2019-01-03T09,CISO,California Independent System Operator,NG,Net generation,12686,megawatthours
2019-01-03T09,CISO,California Independent System Operator,TI,Total interchange,-8071,megawatthours
2019-01-03T10,CISO,California Independent System Operator,D,Demand,21720,megawatthours
2019-01-03T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21574,megawatthours
2019-01-03T10,CISO,California Independent System Operator,NG,Net generation,12184,megawatthours
2019-01-03T10,CISO,California Independent System Operator,TI,Total interchange,-7716,megawatthours
2019-01-03T11,CISO,California Independent System Operator,D,Demand,21342,megawatthours
2019-01-03T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21190,megawatthours
2019-01-03T11,CISO,California Independent System Operator,NG,Net generation,11889,megawatthours
2019-01-03T11,CISO,California Independent System Operator,TI,Total interchange,-7910,megawatthours
2019-01-03T12,CISO,California Independent System Operator,D,Demand,21344,megawatthours
2019-01-03T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21167,megawatthours
2019-01-03T12,CISO,California Independent System Operator,NG,Net generation,11952,megawatthours
2019-01-03T12,CISO,California Independent System Operator,TI,Total interchange,-7971,megawatthours
2019-01-03T13,CISO,California Independent System Operator,D,Demand,21966,megawatthours
2019-01-03T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21840,megawatthours
2019-01-03T13,CISO,California Independent System Operator,NG,Net generation,12621,megawatthours
2019-01-03T13,CISO,California Independent System Operator,TI,Total interchange,-8407,megawatthours
2019-01-03T14,CISO,California Independent System Operator,D,Demand,23249,megawatthours
2019-01-03T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23599,megawatthours
2019-01-03T14,CISO,California Independent System Operator,NG,Net generation,13976,megawatthours
2019-01-03T14,CISO,California Independent System Operator,TI,Total interchange,-9177,megawatthours
2019-01-03T15,CISO,California Independent System Operator,D,Demand,25335,megawatthours
2019-01-03T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26034,megawatthours
2019-01-03T15,CISO,California Independent System Operator,NG,Net generation,14710,megawatthours
2019-01-03T15,CISO,California Independent System Operator,TI,Total interchange,-10120,megawatthours
2019-01-03T16,CISO,California Independent System Operator,D,Demand,26394,megawatthours
2019-01-03T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26960,megawatthours
2019-01-03T16,CISO,California Independent System Operator,NG,Net generation,16636,megawatthours
2019-01-03T16,CISO,California Independent System Operator,TI,Total interchange,-10451,megawatthours
2019-01-03T17,CISO,California Independent System Operator,D,Demand,25987,megawatthours
2019-01-03T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26439,megawatthours
2019-01-03T17,CISO,California Independent System Operator,NG,Net generation,17566,megawatthours
2019-01-03T17,CISO,California Independent System Operator,TI,Total interchange,-8037,megawatthours
2019-01-03T18,CISO,California Independent System Operator,D,Demand,25074,megawatthours
2019-01-03T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25425,megawatthours
2019-01-03T18,CISO,California Independent System Operator,NG,Net generation,17289,megawatthours
2019-01-03T18,CISO,California Independent System Operator,TI,Total interchange,-6714,megawatthours
2019-01-03T19,CISO,California Independent System Operator,D,Demand,24096,megawatthours
2019-01-03T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24336,megawatthours
2019-01-03T19,CISO,California Independent System Operator,NG,Net generation,16517,megawatthours
2019-01-03T19,CISO,California Independent System Operator,TI,Total interchange,-6211,megawatthours
2019-01-03T20,CISO,California Independent System Operator,D,Demand,23270,megawatthours
2019-01-03T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23404,megawatthours
2019-01-03T20,CISO,California Independent System Operator,NG,Net generation,16251,megawatthours
2019-01-03T20,CISO,California Independent System Operator,TI,Total interchange,-6123,megawatthours
2019-01-03T21,CISO,California Independent System Operator,D,Demand,22896,megawatthours
2019-01-03T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22883,megawatthours
2019-01-03T21,CISO,California Independent System Operator,NG,Net generation,16264,megawatthours
2019-01-03T21,CISO,California Independent System Operator,TI,Total interchange,-5743,megawatthours
2019-01-03T22,CISO,California Independent System Operator,D,Demand,23030,megawatthours
2019-01-03T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22794,megawatthours
2019-01-03T22,CISO,California Independent System Operator,NG,Net generation,16135,megawatthours
2019-01-03T22,CISO,California Independent System Operator,TI,Total interchange,-5928,megawatthours
2019-01-03T23,CISO,California Independent System Operator,D,Demand,23365,megawatthours
2019-01-03T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23007,megawatthours
2019-01-03T23,CISO,California Independent System Operator,NG,Net generation,16230,megawatthours
2019-01-03T23,CISO,California Independent System Operator,TI,Total interchange,-6284,megawatthours
2019-01-04T00,CISO,California Independent System Operator,D,Demand,23736,megawatthours
2019-01-04T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23596,megawatthours
2019-01-04T00,CISO,California Independent System Operator,NG,Net generation,15440,megawatthours
2019-01-04T00,CISO,California Independent System Operator,TI,Total interchange,-7075,megawatthours
2019-01-04T01,CISO,California Independent System Operator,D,Demand,25301,megawatthours
2019-01-04T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25016,megawatthours
2019-01-04T01,CISO,California Independent System Operator,NG,Net generation,17248,megawatthours
2019-01-04T01,CISO,California Independent System Operator,TI,Total interchange,-8695,megawatthours
2019-01-04T02,CISO,California Independent System Operator,D,Demand,27880,megawatthours
2019-01-04T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28209,megawatthours
2019-01-04T02,CISO,California Independent System Operator,NG,Net generation,18085,megawatthours
2019-01-04T02,CISO,California Independent System Operator,TI,Total interchange,-9148,megawatthours
2019-01-04T03,CISO,California Independent System Operator,D,Demand,28357,megawatthours
2019-01-04T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,29097,megawatthours
2019-01-04T03,CISO,California Independent System Operator,NG,Net generation,17514,megawatthours
2019-01-04T03,CISO,California Independent System Operator,TI,Total interchange,-9670,megawatthours
2019-01-04T04,CISO,California Independent System Operator,D,Demand,28135,megawatthours
2019-01-04T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28726,megawatthours
2019-01-04T04,CISO,California Independent System Operator,NG,Net generation,16490,megawatthours
2019-01-04T04,CISO,California Independent System Operator,TI,Total interchange,-10029,megawatthours
2019-01-04T05,CISO,California Independent System Operator,D,Demand,27605,megawatthours
2019-01-04T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27982,megawatthours
2019-01-04T05,CISO,California Independent System Operator,NG,Net generation,15398,megawatthours
2019-01-04T05,CISO,California Independent System Operator,TI,Total interchange,-10626,megawatthours
2019-01-04T06,CISO,California Independent System Operator,D,Demand,26453,megawatthours
2019-01-04T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26706,megawatthours
2019-01-04T06,CISO,California Independent System Operator,NG,Net generation,14293,megawatthours
2019-01-04T06,CISO,California Independent System Operator,TI,Total interchange,-10561,megawatthours
2019-01-04T07,CISO,California Independent System Operator,D,Demand,24744,megawatthours
2019-01-04T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24909,megawatthours
2019-01-04T07,CISO,California Independent System Operator,NG,Net generation,13293,megawatthours
2019-01-04T07,CISO,California Independent System Operator,TI,Total interchange,-9997,megawatthours
2019-01-04T08,CISO,California Independent System Operator,D,Demand,23091,megawatthours
2019-01-04T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23193,megawatthours
2019-01-04T08,CISO,California Independent System Operator,NG,Net generation,12624,megawatthours
2019-01-04T08,CISO,California Independent System Operator,TI,Total interchange,-9068,megawatthours
2019-01-04T09,CISO,California Independent System Operator,D,Demand,22065,megawatthours
2019-01-04T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21957,megawatthours
2019-01-04T09,CISO,California Independent System Operator,NG,Net generation,12037,megawatthours
2019-01-04T09,CISO,California Independent System Operator,TI,Total interchange,-8610,megawatthours
2019-01-04T10,CISO,California Independent System Operator,D,Demand,21423,megawatthours
2019-01-04T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21188,megawatthours
2019-01-04T10,CISO,California Independent System Operator,NG,Net generation,11807,megawatthours
2019-01-04T10,CISO,California Independent System Operator,TI,Total interchange,-8206,megawatthours
2019-01-04T11,CISO,California Independent System Operator,D,Demand,21036,megawatthours
2019-01-04T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20839,megawatthours
2019-01-04T11,CISO,California Independent System Operator,NG,Net generation,11687,megawatthours
2019-01-04T11,CISO,California Independent System Operator,TI,Total interchange,-8027,megawatthours
2019-01-04T12,CISO,California Independent System Operator,D,Demand,21049,megawatthours
2019-01-04T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20816,megawatthours
2019-01-04T12,CISO,California Independent System Operator,NG,Net generation,11857,megawatthours
2019-01-04T12,CISO,California Independent System Operator,TI,Total interchange,-7984,megawatthours
2019-01-04T13,CISO,California Independent System Operator,D,Demand,21631,megawatthours
2019-01-04T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21433,megawatthours
